timestamp,src_ip,dst_ip,src_port,dst_port,txid,observation_delay_ms
2026-03-01 00:09:33.075,198.40.96.196,45.253.21.219,57176,8333,TX_000001,75
2026-03-01 00:13:06.742,198.40.96.196,13.93.57.36,52000,8333,TX_000002,742
2026-03-01 00:14:27.080,104.144.51.184,13.21.142.76,56775,8333,TX_000003,80
2026-03-01 00:39:14.624,45.207.12.187,45.216.164.130,62898,8333,TX_000004,624
2026-03-01 00:39:48.334,172.7.190.71,104.154.83.126,54383,8333,TX_000005,334
2026-03-01 00:39:48.732,45.253.21.219,45.40.56.246,56207,18332,TX_000005,732
2026-03-01 00:39:48.886,104.144.51.184,198.176.84.216,52321,8333,TX_000005,886
2026-03-01 00:39:49.288,13.153.120.136,172.12.170.59,50575,8333,TX_000005,1288
2026-03-01 00:39:49.887,45.208.223.2,198.176.84.216,51734,8333,TX_000005,1887
2026-03-01 00:44:01.420,172.40.161.41,45.207.12.187,51431,8333,TX_000006,420
2026-03-01 00:44:01.703,104.154.83.126,198.222.26.98,51766,8332,TX_000006,703
2026-03-01 00:44:02.142,45.253.21.219,13.227.235.165,61106,8333,TX_000006,1142
2026-03-01 00:44:02.555,52.138.32.250,52.1.245.185,57900,8333,TX_000006,1555
2026-03-01 00:44:03.304,45.197.165.88,104.24.56.60,54759,8333,TX_000006,2304
2026-03-01 00:51:26.217,185.55.168.128,45.254.237.164,57997,8334,TX_000007,217
2026-03-01 00:51:26.971,52.24.194.13,13.21.142.76,59778,8333,TX_000007,971
2026-03-01 00:58:29.284,172.174.190.229,198.172.69.180,62297,8333,TX_000008,284
2026-03-01 01:17:34.630,192.130.234.28,185.42.95.91,56119,8333,TX_000009,630
2026-03-01 01:17:35.085,45.197.165.88,185.55.168.128,53833,8333,TX_000009,1085
2026-03-01 01:26:51.624,13.93.57.36,172.12.170.59,63190,80,TX_000010,624
2026-03-01 01:26:52.044,13.21.142.76,192.179.109.88,65323,8333,TX_000010,1044
2026-03-01 01:39:11.162,45.40.56.246,45.197.165.88,54394,8333,TX_000011,162
2026-03-01 01:53:47.660,104.24.56.60,198.176.84.216,61656,8333,TX_000012,660
2026-03-01 01:53:48.189,45.192.150.110,172.12.170.59,49528,8333,TX_000012,1189
2026-03-01 01:53:48.356,52.1.245.185,13.93.57.36,57895,8333,TX_000012,1356
2026-03-01 01:53:48.754,45.208.223.2,45.117.163.214,63398,8333,TX_000012,1754
2026-03-01 01:58:00.302,185.148.50.181,198.172.69.180,63381,8333,TX_000454,302
2026-03-01 01:58:00.957,45.40.56.246,13.153.17.99,49318,8333,TX_000454,957
2026-03-01 01:58:01.052,172.174.190.229,52.37.68.36,50253,8333,TX_000454,1052
2026-03-01 01:58:01.505,13.227.235.165,192.130.234.28,52363,8333,TX_000454,1505
2026-03-01 02:11:54.789,45.216.164.130,172.12.170.59,55006,8333,TX_000013,789
2026-03-01 02:15:48.690,45.117.163.214,45.197.165.88,55669,8333,TX_000014,690
2026-03-01 02:17:18.602,104.154.83.126,45.192.150.110,49170,8333,TX_000015,602
2026-03-01 02:17:19.152,198.58.36.189,192.179.109.88,61046,18332,TX_000015,1152
2026-03-01 02:19:31.109,185.148.50.181,13.153.17.99,51732,8333,TX_000016,109
2026-03-01 02:19:31.656,104.24.56.60,104.154.83.126,53272,8333,TX_000016,656
2026-03-01 02:42:44.612,185.27.24.98,45.253.21.219,63017,443,TX_000017,612
2026-03-01 02:42:45.409,45.249.129.196,45.207.12.187,59366,8333,TX_000017,1409
2026-03-01 02:42:46.146,45.197.165.88,198.42.119.98,63507,80,TX_000017,2146
2026-03-01 02:42:46.319,185.148.50.181,13.21.142.76,51250,8333,TX_000017,2319
2026-03-01 02:56:34.617,13.21.142.76,13.153.120.136,56368,8333,TX_000018,617
2026-03-01 02:56:35.391,104.175.185.30,172.152.109.9,56653,8333,TX_000018,1391
2026-03-01 02:56:35.473,198.172.69.180,104.24.56.60,56950,8333,TX_000018,1473
2026-03-01 02:56:36.020,52.138.32.250,52.24.194.13,53487,8333,TX_000018,2020
2026-03-01 02:56:36.654,172.40.161.41,13.227.235.165,57114,8333,TX_000018,2654
2026-03-01 02:57:25.244,13.57.115.151,45.208.223.2,63276,8333,TX_000019,244
2026-03-01 02:57:25.714,185.55.168.128,198.40.96.196,50927,8333,TX_000019,714
2026-03-01 02:57:26.425,13.57.115.151,172.152.109.9,62345,8333,TX_000019,1425
2026-03-01 02:57:26.586,185.148.50.181,45.207.12.187,55384,8333,TX_000019,1586
2026-03-01 03:19:18.482,172.92.217.89,198.222.26.98,64311,8333,TX_000020,482
2026-03-01 03:19:18.609,198.234.242.146,172.40.161.41,52360,8333,TX_000020,609
2026-03-01 03:26:56.065,104.144.51.184,104.154.83.126,56897,8333,TX_000021,65
2026-03-01 03:26:56.612,13.227.235.165,52.138.32.250,62293,18333,TX_000021,612
2026-03-01 03:26:57.050,172.7.190.71,198.176.84.216,57842,80,TX_000021,1050
2026-03-01 03:26:57.392,185.103.69.17,192.130.234.28,65099,8333,TX_000021,1392
2026-03-01 03:26:57.745,52.138.32.250,172.152.109.9,51149,8333,TX_000021,1745
2026-03-01 03:31:11.101,13.153.17.99,13.227.235.165,54310,8333,TX_000022,101
2026-03-01 04:41:12.132,172.92.217.89,104.24.56.60,51378,8333,TX_000023,132
2026-03-01 04:41:12.422,198.176.84.216,45.208.223.2,57219,8333,TX_000023,422
2026-03-01 04:41:12.512,45.249.142.221,104.144.51.184,62889,8333,TX_000023,512
2026-03-01 04:41:13.140,45.192.150.110,185.42.95.91,57696,8333,TX_000023,1140
2026-03-01 04:41:13.923,185.42.95.91,185.148.50.181,57855,8333,TX_000023,1923
2026-03-01 05:32:00.683,172.174.190.229,45.254.237.164,61159,8333,TX_000459,683
2026-03-01 05:32:01.305,192.130.234.28,104.24.56.60,55860,8333,TX_000459,1305
2026-03-01 05:32:01.697,185.148.50.181,52.24.194.13,52873,8333,TX_000459,1697
2026-03-01 05:32:02.341,45.249.129.196,52.138.32.250,56539,8333,TX_000459,2341
2026-03-01 05:32:21.518,185.42.95.91,104.154.83.126,51529,8333,TX_000024,518
2026-03-01 05:32:22.204,172.40.161.41,13.57.115.151,51552,8333,TX_000024,1204
2026-03-01 05:32:22.772,172.12.170.59,192.179.109.88,60588,18333,TX_000024,1772
2026-03-01 05:34:22.341,185.27.24.98,185.55.168.128,59064,8333,TX_000025,341
2026-03-01 05:34:23.060,45.192.150.110,172.7.190.71,58962,8332,TX_000025,1060
2026-03-01 05:34:23.247,172.12.170.59,45.208.223.2,52659,8333,TX_000025,1247
